likes_total,posts_per_week,friends_count,photos_uploaded,O,C,E,A,N
121,2.87,80,61,0.358,0.256,0.097,0.258,0.114
103,1.04,180,55,0.239,0.49,0.3,0.098,0.0
137,4.0,178,65,0.537,0.236,0.348,0.407,0.0
115,3.55,20,59,0.39,0.27,0.134,0.119,0.313
127,1.59,196,124,0.431,0.454,0.367,0.429,0.0
135,2.23,182,31,0.479,0.501,0.448,0.476,0.09
125,1.41,256,34,0.432,0.433,0.378,0.626,0.0
108,2.91,348,31,0.142,0.594,0.603,0.415,0.0
123,4.43,290,33,0.322,0.5,0.749,0.416,0.203
103,1.52,178,31,0.229,0.323,0.307,0.222,0.0
121,3.76,111,86,0.465,0.361,0.574,0.202,0.219
125,2.2,406,93,0.425,0.774,0.666,0.516,0.0
127,1.81,205,33,0.233,0.402,0.155,0.308,0.0
114,2.84,201,25,0.21,0.62,0.456,0.289,0.149
125,1.45,198,64,0.507,0.584,0.342,0.454,0.0
125,2.17,216,33,0.346,0.438,0.494,0.235,0.0
103,1.2,188,69,0.263,0.545,0.346,0.324,0.0
112,5.95,154,56,0.379,0.269,0.47,0.359,0.196
136,3.05,156,5,0.0,0.412,0.212,0.331,0.137
130,1.95,197,96,0.631,0.562,0.309,0.134,0.046
122,3.32,157,104,0.328,0.295,0.264,0.216,0.0
109,2.83,143,32,0.174,0.426,0.248,0.334,0.185
113,2.67,209,38,0.139,0.328,0.44,0.271,0.0
125,3.92,180,59,0.242,0.354,0.577,0.208,0.187
138,4.14,320,60,0.555,0.369,0.641,0.428,0.099
118,2.2,20,70,0.327,0.282,0.0,0.236,0.007
113,2.14,287,110,0.514,0.689,0.499,0.389,0.0
133,2.59,300,45,0.361,0.654,0.614,0.415,0.0
108,0.0,34,26,0.235,0.572,0.0,0.079,0.0
141,0.73,173,9,0.297,0.46,0.22,0.34,0.0
122,5.05,170,28,0.132,0.252,0.459,0.195,0.228
106,5.47,87,49,0.351,0.314,0.295,0.309,0.366
135,2.63,138,104,0.514,0.432,0.353,0.292,0.187
126,3.86,111,34,0.144,0.548,0.308,0.382,0.077
115,3.47,340,57,0.276,0.558,0.634,0.536,0.0
131,7.62,275,50,0.522,0.215,0.637,0.51,0.036
120,4.68,302,86,0.519,0.378,0.563,0.335,0.0
130,2.81,258,126,0.575,0.512,0.524,0.432,0.061
127,1.57,110,34,0.269,0.451,0.16,0.262,0.175
136,0.59,158,35,0.318,0.638,0.38,0.254,0.0
116,3.31,239,81,0.609,0.547,0.414,0.344,0.0
122,1.87,102,70,0.434,0.362,0.226,0.117,0.032
119,0.87,257,105,0.535,0.492,0.442,0.458,0.0
113,2.03,181,68,0.446,0.307,0.171,0.206,0.0
86,1.38,170,39,0.149,0.576,0.088,0.135,0.0
132,5.53,257,68,0.408,0.209,0.441,0.429,0.061
105,4.32,236,83,0.336,0.167,0.629,0.23,0.06
129,2.99,171,75,0.435,0.459,0.295,0.38,0.095
124,5.22,293,65,0.385,0.616,0.879,0.343,0.065
96,3.12,114,82,0.381,0.367,0.227,0.207,0.048
121,1.71,249,85,0.442,0.648,0.402,0.208,0.0
120,5.28,247,91,0.526,0.336,0.723,0.349,0.094
130,3.81,175,69,0.422,0.359,0.599,0.523,0.044
118,1.44,226,45,0.303,0.655,0.546,0.211,0.0
132,2.71,100,54,0.192,0.354,0.366,0.213,0.241
117,1.69,274,86,0.513,0.611,0.516,0.394,0.0
107,0.93,185,25,0.216,0.598,0.319,0.245,0.0
121,4.39,158,61,0.461,0.251,0.485,0.308,0.194
125,5.86,284,38,0.018,0.417,0.591,0.437,0.072
122,0.9,144,51,0.542,0.518,0.124,0.33,0.07
117,3.84,87,88,0.415,0.224,0.288,0.31,0.187
115,2.02,75,56,0.426,0.463,0.16,0.222,0.053
94,2.27,248,51,0.098,0.437,0.366,0.189,0.0
133,2.11,98,9,0.314,0.424,0.28,0.351,0.0
119,1.7,340,72,0.282,0.633,0.595,0.593,0.0
120,3.07,33,69,0.32,0.417,0.187,0.159,0.032
108,1.75,336,115,0.661,0.675,0.644,0.25,0.0
117,3.41,217,41,0.258,0.425,0.317,0.41,0.201
124,2.92,192,57,0.383,0.522,0.355,0.301,0.244
116,2.64,156,57,0.413,0.57,0.242,0.03,0.098
120,1.64,232,97,0.521,0.611,0.171,0.409,0.0
125,2.13,197,47,0.351,0.497,0.33,0.268,0.0
100,4.13,288,58,0.289,0.304,0.548,0.264,0.0
142,3.75,209,68,0.724,0.293,0.59,0.445,0.0
116,1.53,212,56,0.314,0.516,0.389,0.309,0.0
119,3.15,171,37,0.294,0.348,0.256,0.344,0.033
142,4.13,195,56,0.549,0.345,0.627,0.358,0.035
109,0.5,225,82,0.481,0.63,0.41,0.318,0.0
103,3.82,63,19,0.261,0.336,0.314,0.088,0.242
103,2.01,92,54,0.316,0.417,0.175,0.21,0.0
100,3.86,259,29,0.045,0.48,0.413,0.312,0.042
133,1.86,214,86,0.66,0.533,0.308,0.279,0.156
131,0.29,185,4,0.113,0.41,0.336,0.45,0.0
105,0.56,201,33,0.226,0.509,0.45,0.176,0.0
124,3.07,228,61,0.3,0.444,0.582,0.421,0.0
128,3.39,157,97,0.502,0.262,0.304,0.342,0.183
113,1.64,138,48,0.314,0.543,0.125,0.403,0.192
128,3.96,216,33,0.338,0.544,0.472,0.328,0.0
116,0.51,122,106,0.523,0.667,0.0,0.186,0.0
115,2.9,233,7,0.32,0.452,0.457,0.299,0.0
133,1.18,64,0,0.269,0.605,0.103,0.227,0.018
128,2.02,282,63,0.377,0.584,0.395,0.481,0.169
104,3.07,238,35,0.293,0.432,0.281,0.091,0.0
120,1.71,220,19,0.342,0.48,0.398,0.211,0.0
114,2.42,279,71,0.237,0.509,0.405,0.225,0.0
116,4.51,333,57,0.385,0.406,0.521,0.478,0.105
137,2.13,281,33,0.418,0.578,0.159,0.614,0.0
114,4.25,53,12,0.14,0.262,0.262,0.148,0.229
145,1.31,98,76,0.661,0.474,0.345,0.324,0.0
124,3.79,150,70,0.387,0.395,0.532,0.288,0.126
113,5.16,202,47,0.291,0.42,0.458,0.385,0.097
126,0.0,241,105,0.508,0.765,0.223,0.268,0.0
130,1.8,142,18,0.268,0.327,0.298,0.327,0.0
102,3.87,215,4,0.0,0.141,0.353,0.323,0.091
97,2.7,140,29,0.001,0.508,0.325,0.194,0.047
118,3.56,151,49,0.466,0.231,0.431,0.272,0.199
115,2.09,87,57,0.236,0.392,0.319,0.29,0.053
106,3.13,126,43,0.132,0.259,0.29,0.0,0.0
124,2.77,92,61,0.158,0.193,0.217,0.304,0.216
102,4.75,122,12,0.052,0.321,0.292,0.089,0.081
100,3.38,284,93,0.231,0.557,0.433,0.087,0.0
127,3.51,124,48,0.511,0.292,0.295,0.326,0.045
116,2.38,411,84,0.509,0.385,0.662,0.58,0.0
116,2.27,239,60,0.266,0.465,0.491,0.298,0.0
129,2.35,215,64,0.633,0.534,0.292,0.45,0.288
118,3.59,131,67,0.464,0.202,0.48,0.399,0.209
104,2.37,256,63,0.255,0.544,0.399,0.398,0.0
97,3.43,154,69,0.023,0.376,0.35,0.319,0.072
105,6.11,210,90,0.605,0.302,0.489,0.31,0.204
128,4.31,405,56,0.239,0.525,0.476,0.503,0.0
149,2.51,192,71,0.362,0.37,0.441,0.272,0.064
